,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
0,204,Carlos Rodolfo Abaunza Balladares,M,18.0,168.0,60.0,Nicaragua,NCA,2004 Summer,2004,Athina,Athletics,100 meters,nan
1,258,Ruslan Abbasov,M,22.0,181.0,74.0,Azerbaijan,AZE,2008 Summer,2008,Beijing,Athletics,100 meters,nan
2,316,Younis Abdallah Rabee,M,23.0,169.0,68.0,Kuwait,KUW,1972 Summer,1972,Munich,Athletics,100 meters,nan
3,354,Moustafa Mounib Abdel Kader,M,nan,176.0,67.0,United Arab Republic,UAR,1960 Summer,1960,Roma,Athletics,100 meters,nan
4,453,Bashir Abdi,M,27.0,176.0,56.0,Belgium,BEL,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 meters",nan
5,458,Talal Omar Abdillahi,M,21.0,170.0,57.0,Djibouti,DJI,1988 Summer,1988,Seoul,Athletics,"10,000 meters",nan
6,467,"Abdihakim ""Abdi"" Abdirahman",M,23.0,178.0,61.0,United States,USA,2000 Summer,2000,Sydney,Athletics,"10,000 meters",nan
7,468,"Abdihakim ""Abdi"" Abdirahman",M,27.0,178.0,61.0,United States,USA,2004 Summer,2004,Athina,Athletics,"10,000 meters",nan
8,469,"Abdihakim ""Abdi"" Abdirahman",M,31.0,178.0,61.0,United States,USA,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
9,527,Dana Abdul Razak (Hussain-),F,22.0,163.0,56.0,Iraq,IRQ,2008 Summer,2008,Beijing,Athletics,100 meters,nan
10,528,Dana Abdul Razak (Hussain-),F,26.0,163.0,56.0,Iraq,IRQ,2012 Summer,2012,London,Athletics,100 meters,nan
11,545,"Lawal Kolawole ""Kola"" Abdulai",M,21.0,172.0,66.0,Nigeria,NGR,1968 Summer,1968,Mexico City,Athletics,100 meters,nan
12,547,"Lawal Kolawole ""Kola"" Abdulai",M,25.0,172.0,66.0,Nigeria,NGR,1972 Summer,1972,Munich,Athletics,100 meters,nan
13,560,Ahmad Hassan Abdullah,M,27.0,164.0,55.0,Qatar,QAT,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
14,571,Mohamed Samy Abdullah,M,nan,165.0,65.0,United Arab Emirates,UAE,1984 Summer,1984,Los Angeles,Athletics,100 meters,nan
15,656,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 meters",Bronze
16,693,Mara Abel Diguez,F,25.0,163.0,46.0,Spain,ESP,2000 Summer,2000,Sydney,Athletics,"10,000 meters",nan
17,749,Elvan Abeylegesse,F,25.0,159.0,40.0,Turkey,TUR,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
18,780,Inga Eduardovna Abitova,F,26.0,164.0,58.0,Russia,RUS,2008 Summer,2008,Beijing,Athletics,"10,000 meters",nan
19,908,Glen Abrahams Martnez,M,22.0,179.0,72.0,Costa Rica,CRC,1984 Summer,1984,Los Angeles,Athletics,100 meters,nan
20,910,Guy A. Abrahams,M,23.0,173.0,65.0,Panama,PAN,1976 Summer,1976,Montreal,Athletics,100 meters,nan
21,912,Harold Maurice Abrahams,M,20.0,183.0,75.0,Great Britain,GBR,1920 Summer,1920,Antwerpen,Athletics,100 meters,nan
