,Country,GDP_per_cap,Life_exp,Unemployment,Continent
0,Afghanistan,623.2,63.5,8.6,SouthernAsia
1,Albania,3984.2,79.9,15.8,SouthernEurope
2,Algeria,4154.1,76.5,11.4,NorthernAfrica
3,Angola,4714.1,63.0,6.6,MiddleAfrica
4,Argentina,14564.5,79.8,6.5,SouthAmerica
5,Armenia,3489.1,77.0,16.6,WesternAsia
6,Australia,51352.2,84.4,5.5,Oceania
7,Austria,44117.7,83.5,6.2,WesternEurope
8,Azerbaijan,5438.7,74.6,5.2,WesternAsia
9,Bahamas,22817.2,78.1,14.7,Caribbean
10,Bahrain,22600.2,77.5,1.3,WesternAsia
11,Bangladesh,1207.9,72.9,4.0,SouthernAsia
12,Barbados,15429.4,77.7,11.3,Caribbean
13,Belarus,5750.8,77.7,0.5,EasternEurope
14,Belgium,40277.8,83.0,8.3,WesternEurope
15,Belize,4789.4,72.7,11.5,CentralAmerica
16,Benin,779.1,61.4,1.0,WesternAfrica
17,Bermuda,94399.9,85.1,6.7,NorthernAmerica
18,Bhutan,2677.1,68.9,2.4,SouthernAsia
19,Bolivia (Plurinational State of),3076.8,70.2,3.8,SouthAmerica
20,Bosnia and Herzegovina,4265.0,78.8,25.4,SouthernEurope
21,Botswana,6360.6,66.1,18.6,SouthernAfrica
22,Brazil,8528.3,78.4,12.4,SouthAmerica
23,Brunei Darussalam,30552.7,78.4,2.1,South-easternAsia
24,Bulgaria,6846.8,77.8,8.1,EasternEurope
25,Burkina Faso,611.1,59.3,2.9,WesternAfrica
26,Burundi,244.6,58.0,1.7,EasternAfrica
27,Cabo Verde,3080.2,74.0,10.5,WesternAfrica
28,Cambodia,1158.7,69.6,0.3,South-easternAsia
29,Cameroon,1217.3,57.7,4.6,MiddleAfrica
30,Canada,43205.6,83.8,7.1,NorthernAmerica
31,Central African Republic,333.2,51.0,6.9,MiddleAfrica
32,Chad,713.0,52.8,5.8,MiddleAfrica
33,Chile,13416.2,81.3,6.8,SouthAmerica
34,"China, Hong Kong SAR",42431.0,86.4,3.5,EasternAsia
35,"China, Macao SAR",78586.4,86.2,3.2,EasternAsia
36,China,8109.1,77.2,4.6,EasternAsia
37,Colombia,6056.1,77.4,10.5,SouthAmerica
38,Comoros,1368.9,64.5,20.0,EasternAfrica
39,Congo,1838.1,64.1,11.5,MiddleAfrica
40,Cook Islands,14118.7,79.6,8.2,Polynesia
41,Costa Rica,11015.0,81.7,8.6,CentralAmerica
42,Croatia,11479.4,80.4,11.7,SouthernEurope
43,Cuba,7656.6,81.3,3.0,Caribbean
44,Cyprus,21941.9,82.2,10.3,WesternAsia
45,Czechia,17561.7,81.2,3.9,EasternEurope
46,Democratic People's Republic of Korea,648.0,74.1,4.3,EasternAsia
47,Democratic Republic of the Congo,486.2,59.5,3.6,MiddleAfrica
48,Denmark,53149.3,82.2,6.0,NorthernEurope
49,Djibouti,1956.3,63.2,6.6,EasternAfrica
50,Dominican Republic,6373.6,76.4,14.4,Caribbean
51,Ecuador,6205.1,78.4,5.8,SouthAmerica
52,Egypt,3452.3,73.0,11.5,NorthernAfrica
53,El Salvador,4219.4,77.1,6.4,CentralAmerica
54,Equatorial Guinea,16344.1,58.4,7.7,MiddleAfrica
55,Eritrea,914.9,65.6,7.3,EasternAfrica
