,Unnamed: 0,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Sport,Event,Medal
0,656,Addis Abebe,M,21.0,160.0,50.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",Bronze
1,10369,Abraham Assefa,M,23.0,165.0,51.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",nan
2,16596,Fita Bayissa,M,19.0,173.0,52.0,Ethiopia,ETH,1992 Summer,1992,Barcelona,Athletics,"10,000 metres",nan
3,17853,Kenenisa Bekele Beyecha,M,22.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",Gold
4,17855,Kenenisa Bekele Beyecha,M,26.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",Gold
5,17856,Kenenisa Bekele Beyecha,M,30.0,165.0,56.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",nan
6,17861,Tariku Bekele Beyecha,M,25.0,173.0,65.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",Bronze
7,21711,Worku Bikila,M,28.0,175.0,59.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",nan
8,52640,Fikru Deguefu,M,31.0,173.0,52.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",nan
9,53506,Yigrem Demelash,M,22.0,167.0,48.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",nan
10,77428,Gebre Egziabher Gebremariam,M,27.0,178.0,56.0,Ethiopia,ETH,2012 Summer,2012,London,Athletics,"10,000 metres",nan
11,77437,Haile Gebrselassie,M,23.0,165.0,56.0,Ethiopia,ETH,1996 Summer,1996,Atlanta,Athletics,"10,000 metres",Gold
12,77438,Haile Gebrselassie,M,27.0,165.0,56.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",Gold
13,77439,Haile Gebrselassie,M,31.0,165.0,56.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",nan
14,77440,Haile Gebrselassie,M,35.0,165.0,56.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",nan
15,87997,Abadi Hadis Embaye,M,18.0,170.0,63.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",nan
16,115197,Mohamed Kedir,M,26.0,166.0,45.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"10,000 metres",Bronze
17,125321,Tolossa Kotu,M,27.0,180.0,58.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"10,000 metres",nan
18,151813,Wohib Masresha,M,22.0,173.0,53.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",nan
19,151814,Wohib Masresha,M,26.0,173.0,53.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 metres",nan
20,156903,Gabrou Merawi,M,27.0,172.0,62.0,Ethiopia,ETH,1960 Summer,1960,Roma,Athletics,"10,000 metres",nan
21,157924,Assefa Mezgebu,M,22.0,175.0,55.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",Bronze
22,219742,Sileshi Mekuria Sihine,M,21.0,168.0,58.0,Ethiopia,ETH,2004 Summer,2004,Athina,Athletics,"10,000 metres",Silver
23,219743,Sileshi Mekuria Sihine,M,25.0,168.0,58.0,Ethiopia,ETH,2008 Summer,2008,Beijing,Athletics,"10,000 metres",Silver
24,241128,Tamirat Tola Abera,M,24.0,181.0,59.0,Ethiopia,ETH,2016 Summer,2016,Rio de Janeiro,Athletics,"10,000 metres",Bronze
25,241197,Girma Tolla,M,24.0,174.0,57.0,Ethiopia,ETH,2000 Summer,2000,Sydney,Athletics,"10,000 metres",nan
26,262394,Mamo Wolde,M,32.0,170.0,54.0,Ethiopia,ETH,1964 Summer,1964,Tokyo,Athletics,"10,000 metres",nan
27,262397,Mamo Wolde,M,36.0,170.0,54.0,Ethiopia,ETH,1968 Summer,1968,Mexico City,Athletics,"10,000 metres",Silver
28,262403,Tadesse Wolde-Medhin,M,35.0,175.0,56.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 metres",nan
29,265729,Miruts Yifter,M,28.0,162.0,53.0,Ethiopia,ETH,1972 Summer,1972,Munich,Athletics,"10,000 metres",Bronze
30,265731,Miruts Yifter,M,36.0,162.0,53.0,Ethiopia,ETH,1980 Summer,1980,Moskva,Athletics,"10,000 metres",Gold
